KEY_CODE,population
533904652,3384
533904653,2931
533904654,3748
533904661,2879
533904662,1564
533904663,2165
533904664,869
533904671,2583
533904672,2551
533904673,1489
533904674,3337
533904681,3322
533904682,3599
533904683,2428
533904684,3756
533904691,3744
533904692,1994
533904693,3479
533904701,383
533904702,1729
533904704,1776
533904711,1689
533904712,2211
533904713,3254
533904714,3631
533904721,4575
533904722,2571
533904723,2522
533904724,3050
533904731,2818
533904732,1227
533904733,5358
533904734,2321
533904741,2242
533904742,2222
533904743,352
533904744,2806
533904751,2167
533904752,4080
533904753,2606
533904754,2927
533904761,3219
533904762,2544
533904763,4927
533904764,3347
533904771,3300
533904772,3454
533904773,2445
533904774,4263
533904781,3218
533904782,2900
533904783,2856
533904784,3313
533904791,2307
533904793,5534
533904801,1818
533904802,3519
533904803,3474
533904804,3297
533904811,3271
533904812,4261
533904813,2762
533904814,2645
533904821,3599
533904822,2255
533904823,3587
533904824,4932
533904831,788
533904832,1185
533904833,3508
533904834,572
533904841,418
533904842,2402
533904843,721
533904844,3163
533904851,2744
533904852,3118
533904853,3057
533904854,3285
533904861,3446
533904862,3831
533904863,2874
533904864,3917
533904871,2973
533904872,4285
533904873,4723
533904874,4192
533904881,3400
533904882,3234
533904883,2126
533904884,1405
533904891,6548
533904892,687
533904893,2275
533904894,2964
533904901,2371
533904902,3131
533904903,2265
533904904,2928
533904911,3259
533904912,2174
533904913,3656
533904914,2399
533904921,2772
533904922,2144
533904923,1517
533904924,3634
533904931,2328
533904932,2633
533904933,2908
533904934,2269
533904941,2395
533904942,2976
533904943,2016
533904944,2083
533904951,3158
533904952,3215
533904953,2421
533904954,2707
533904961,4179
533904962,5340
533904963,3992
533904964,3560
533904971,4628
533904972,3742
533904973,3915
533904974,4708
533904981,4440
533904982,2978
533904983,4215
533904984,2939
533904991,2726
533904992,3886
533904993,2208
533904994,4033
533905001,3936
533905002,540
533905003,4437
533905004,1333
533905101,2032
533905102,2205
533905103,2495
533905104,955
533905111,2231
533905113,1119
533905114,26
533905121,11
533905201,2678
533905202,1329
533905203,4412
533905204,1937
533905211,560
533905212,4
533905213,2297
533905214,11
533905301,2919
533905302,762
533905303,2527
533905304,2913
533905311,1093
533905312,11
533905313,3679
533905401,2510
533905402,2216
533905403,2881
533905404,1933
533905411,2720
533905413,2681
533905414,7
533905501,1046
533905502,1121
533905503,314
533905504,520
533905511,2758
533905612,1
533905614,12
533905621,10
533905901,447
533905903,1783
533905904,2724
533905913,65
533905924,677
533905933,894
533906072,305
533906081,645
