KEY_CODE,population
533907363,362
533907364,77
533907391,39
533907393,40
533907421,22
533907424,1
533907431,324
533907432,1122
533907433,23
533907434,1122
533907441,779
533907442,409
533907443,1541
533907444,486
533907452,392
533907453,725
533907454,773
533907461,342
533907462,414
533907463,1543
533907464,729
533907472,41
533907473,105
533907474,128
533907482,32
533907484,28
533907493,54
533907531,206
533907532,1641
533907533,100
533907534,1288
533907541,1270
533907542,779
533907543,685
533907544,1249
533907551,1091
533907552,978
533907553,832
533907554,1839
533907561,1566
533907562,907
533907563,1981
533907564,1742
533907571,46
533907572,135
533907573,238
533907574,35
533907582,62
533907584,155
533907592,120
533907593,60
533907631,76
533907632,1280
533907633,624
533907634,1297
533907641,1335
533907642,1228
533907643,163
533907644,530
533907651,1123
533907652,1217
533907653,935
533907654,1208
533907661,1242
533907662,1708
533907663,2025
533907664,1550
533907671,677
533907672,60
533907673,1271
533907681,379
533907682,564
533907684,279
533907691,122
533907693,135
533907731,54
533907732,979
533907733,287
533907734,733
533907741,121
533907742,402
533907743,63
533907744,744
533907751,256
533907752,38
533907753,384
533907754,447
533907761,1006
533907762,75
533907763,74
533907764,107
533907772,163
533907773,351
533907774,203
533907782,234
533907783,129
533907793,117
533907824,106
533907831,743
533907832,557
533907833,170
533907834,741
533907841,78
533907842,123
533907843,732
533907844,262
533907851,279
533907852,37
533907853,458
533907854,1017
533907862,257
533907864,170
533907873,117
533907874,417
533907883,190
533907892,81
533907893,75
533907922,283
533907932,173
533907933,194
533907934,436
533907941,1062
533907942,2132
533907943,1200
533907944,1012
533907951,1544
533907952,937
533907953,820
533907954,235
533907962,46
533907963,204
533907964,34
533907971,141
533907974,228
533907981,35
533907982,81
533910033,40
533910052,136
533910231,167
533910234,133
533910332,103
533910492,43
533910542,53
533910913,5
533911192,121
533911193,6
533911371,2
533911562,11
533911874,1
533911984,14
533912002,359
533912003,181
533912011,148
533912012,232
533912021,144
533912024,3
533912031,305
533912032,319
533912033,383
533912034,361
533912041,201
533912042,111
533912051,121
533912052,45
533912054,58
533912061,571
533912062,1244
533912063,819
533912064,1432
533912071,1733
533912072,1985
533912073,1680
533912074,1044
533912081,218
533912082,81
533912083,179
533912091,1212
533912092,207
533912093,598
533912094,34
533912122,25
533912131,25
533912132,23
533912133,473
533912134,397
533912141,155
533912143,32
533912144,98
533912151,145
533912154,86
533912161,755
533912162,339
533912163,164
533912164,901
533912171,96
533912172,533
533912173,1258
533912174,943
533912181,792
533912182,669
533912183,843
533912184,1815
533912191,1673
533912192,256
533912193,2488
533912194,161
533912212,8
533912213,16
533912221,196
533912222,198
533912231,198
533912232,159
533912234,636
533912241,392
533912242,367
533912243,513
533912244,1217
533912251,519
533912252,552
533912254,776
533912261,2549
533912262,2023
533912263,2039
533912264,1483
533912271,1156
533912272,205
533912273,864
533912274,604
533912281,449
533912282,2357
533912283,1812
533912284,1955
533912291,2977
533912292,980
533912293,1708
533912294,1385
533912332,349
533912333,335
533912334,304
533912341,520
533912342,1428
533912343,534
533912344,1788
533912351,2
533912352,411
533912354,62
533912361,1823
533912362,1301
533912363,1019
533912364,1434
533912371,1807
533912372,910
533912373,335
533912374,2261
533912381,2042
533912382,2498
533912383,2851
533912384,1961
533912391,2524
533912392,1374
533912393,2718
533912394,559
533912421,52
533912422,53
533912432,342
533912433,54
533912441,864
533912442,354
533912443,304
533912444,235
533912452,173
533912454,121
533912461,1243
533912462,1338
533912463,1011
533912464,914
533912471,2694
533912472,3271
533912473,2344
533912474,1955
533912481,2854
533912482,2002
533912483,1295
533912484,2455
533912491,2061
533912492,159
533912493,1905
533912494,7
533912542,246
533912551,119
533912552,603
533912553,139
533912554,501
533912561,672
533912562,552
533912563,1172
533912564,1117
533912571,772
533912572,904
533912573,460
533912574,435
533912581,1230
533912582,2061
533912583,2229
533912584,2446
533912591,1179
533912592,622
533912593,647
533912594,852
533912622,738
533912624,326
533912633,356
533912642,191
533912644,207
533912651,188
533912652,488
533912653,39
533912654,286
533912661,232
533912662,328
533912664,121
533912671,251
533912672,1240
533912673,826
533912674,2084
533912681,2724
533912682,2056
533912683,1298
533912684,154
533912691,640
533912692,568
533912693,346
533912694,1473
533912714,63
533912721,148
533912722,456
533912731,82
533912732,178
533912733,73
533912734,7
533912742,828
533912743,230
533912744,139
533912751,1206
533912753,815
533912754,22
533912762,23
533912764,792
533912771,1669
533912772,2620
533912773,2355
533912774,1049
533912781,426
533912782,9
533912783,560
533912791,525
533912792,307
533912793,2706
533912794,19
533912812,389
533912814,297
533912821,8
533912841,97
533912844,80
533912852,492
533912853,8
533912854,812
533912861,604
533912862,205
533912863,1996
533912864,1444
533912871,1700
533912872,536
533912873,151
533912874,9
533912881,71
533912882,80
533912883,50
533912884,793
533912891,741
533912893,1099
533912894,96
533912912,134
533912914,74
533912942,231
533912943,196
533912944,100
533912951,505
533912952,1708
533912953,858
533912954,379
533912961,1946
533912962,742
533912963,8
533912964,33
533912971,1119
533912972,188
533912973,18
533912974,66
533912981,217
533912982,670
533912983,500
533912984,457
533912991,901
533912993,933
533913001,860
533913003,799
533913004,341
533913011,454
533913012,435
533913013,269
533913014,1228
533913021,574
533913022,100
533913023,2748
533913024,712
533913031,220
533913032,119
533913033,297
533913034,166
533913041,84
533913042,711
533913043,512
533913044,634
533913051,1101
533913052,1468
533913053,1408
533913054,2093
533913061,1325
533913062,862
533913063,1294
533913064,1604
533913071,1654
533913072,2740
533913073,2549
533913074,1465
533913081,1170
533913082,2845
533913083,2204
533913084,1314
533913091,3089
533913092,3637
533913093,1144
533913094,1916
533913101,604
533913102,1521
533913103,8
533913104,1148
533913111,895
533913112,1344
533913113,422
533913114,1019
533913121,2301
533913122,417
533913123,364
533913124,2220
533913131,364
533913132,319
533913133,1950
533913134,117
533913141,345
533913142,550
533913143,46
533913144,560
533913151,132
533913152,266
533913153,1260
533913154,151
533913161,955
533913162,1553
533913163,978
533913164,1509
533913171,2607
533913172,3833
533913173,1803
533913174,3361
533913181,1844
533913182,1133
533913183,1549
533913184,154
533913191,725
533913192,752
533913193,1353
533913194,3659
533913201,304
