139.795134 35.725234
139.660845 35.773563
139.688459 35.589407
139.648828 35.631012
139.691381 35.635322
139.612044 35.654740
139.686411 35.724500
139.642784 35.732725
139.714132 35.761560
139.869695 35.668631
139.590529 35.744918
139.792505 35.669826
139.881016 35.718036
139.790955 35.782737
139.668558 35.682807
139.828836 35.692828
139.727113 35.606469
139.722467 35.562378
139.724078 35.703913
139.616094 35.700798
139.733681 35.649032
139.846037 35.762979
optimized cost
179940.740852
2024-01-29 05:25:55
21回目，np.seedIndex=20
初期母点
139.871692 35.721564
139.829953 35.776154
139.677948 35.708931
139.871484 35.768033
139.771882 35.592345
139.723457 35.798460
139.630974 35.629785
139.885012 35.662350
139.662596 35.629226
139.728212 35.706921
139.841676 35.673028
139.624440 35.693302
139.657101 35.723360
139.685042 35.722562
139.649005 35.579424
139.607003 35.726446
139.793458 35.625187
139.641062 35.711718
139.779920 35.661847
139.645904 35.709668
139.766707 35.658225
139.649401 35.782209
139.858951 35.722451
局所最適点
139.881010 35.718032
139.791153 35.782613
139.689559 35.722336
139.846069 35.762946
139.722599 35.565054
139.726071 35.755486
139.650980 35.630430
139.869793 35.668636
139.695525 35.640367
139.724925 35.699537
139.829107 35.691976
139.612581 35.654399
139.648215 35.725920
139.687687 35.769713
139.691651 35.593640
139.590202 35.743975
139.791630 35.669412
139.615064 35.701225
139.757501 35.729725
139.668252 35.681888
139.732128 35.621788
139.643102 35.769533
139.796879 35.724449
optimized cost
180706.566048
2024-01-29 05:26:10
22回目，np.seedIndex=21
初期母点
139.649485 35.722442
139.790500 35.669775
139.664804 35.748158
139.842356 35.678114
139.751525 35.609014
139.600954 35.642762
139.775609 35.567316
139.899268 35.734672
139.862512 35.703973
139.610221 35.632232
139.749266 35.578952
139.646444 35.754377
139.637463 35.781986
139.735938 35.688001
139.702876 35.671176
139.890631 35.773491
139.826438 35.740698
139.774230 35.732439
139.636743 35.669081
139.876950 35.771890
139.722881 35.641305
139.735396 35.646444
139.815428 35.798206
局所最適点
139.633313 35.715488
139.792420 35.669768
139.710765 35.762388
139.828394 35.693076
139.726542 35.606914
139.609702 35.665894
139.722091 35.562539
139.891791 35.699553
139.867796 35.666233
139.643043 35.632939
139.687361 35.590088
139.591550 35.742812
139.654610 35.769771
139.723418 35.703561
139.682966 35.725277
139.869121 35.733490
139.794357 35.725995
139.751228 35.734092
139.669818 35.681983
139.841777 35.767772
139.688432 35.635022
139.732810 35.648965
139.789296 35.783408
optimized cost
180563.874958
2024-01-29 05:26:22
23回目，np.seedIndex=22
初期母点
139.607085 35.799658
139.655276 35.580148
139.795426 35.636411
139.780343 35.783022
139.805578 35.780962
139.864410 35.697389
139.693204 35.597533
139.854943 35.695706
139.881397 35.743488
139.888358 35.691578
139.809516 35.703081
139.677523 35.789179
139.693742 35.745277
139.886390 35.712719
139.642667 35.756306
139.614738 35.682954
139.609679 35.781270
139.751884 35.679328
139.722833 35.715250
139.712134 35.695648
139.689196 35.698909
139.762936 35.658368
139.801971 35.682060
局所最適点
139.637814 35.757833
139.674928 35.617139
139.791534 35.661130
139.775658 35.782292
139.811909 35.781306
139.871627 35.728882
139.716676 35.570021
139.831097 35.692558
139.848723 35.762971
139.867862 35.666523
139.795087 35.733086
139.679978 35.772033
139.674539 35.717800
139.894201 35.698194
139.621222 35.703479
139.619405 35.648655
139.588293 35.743016
139.752209 35.728686
139.718439 35.754764
139.720967 35.699871
139.670136 35.671457
139.724918 35.626611
139.794179 35.695903
optimized cost
185034.702005
2024-01-29 05:26:37
24回目，np.seedIndex=23
初期母点
139.877460 35.787151
139.777608 35.655937
139.759026 35.582576
139.657599 35.661143
139.666312 35.663758
139.813002 35.655312
139.753790 35.733552
139.707699 35.564389
139.834931 35.697281
139.797374 35.705248
139.771614 35.715133
139.694317 35.571434
139.742220 35.729479
139.777183 35.661863
139.792714 35.595507
139.653562 35.630853
139.611680 35.618891
139.771847 35.755166
139.699241 35.642413
139.686545 35.626197
139.833275 35.687248
139.677526 35.576782
139.835143 35.726786
局所最適点
139.845809 35.763066
139.732813 35.648961
139.726514 35.606910
139.591208 35.742905
139.632456 35.714752
139.830162 35.693024
139.708995 35.763474
139.722070 35.562564
139.881108 35.718125
139.748190 35.735872
139.722905 35.703202
139.687321 35.590109
139.653217 35.769693
139.790107 35.698236
139.793784 35.661673
139.670130 35.682285
139.609647 35.665239
139.790402 35.783804
139.681996 35.726208
139.688432 35.635022
139.869696 35.668632
139.643274 35.633193
139.794825 35.733603
optimized cost
180637.733202
2024-01-29 05:26:53
25回目，np.seedIndex=24
初期母点
139.813703 35.759950
139.654778 35.799571
139.658229 35.717722
139.627536 35.739434
139.645390 35.726641
139.817335 35.741486
139.732413 35.766443
139.755068 35.789540
139.821745 35.661052
139.691380 35.788258
139.625536 35.740139
139.698061 35.626340
139.762626 35.641749
139.868107 35.781158
139.694851 35.773695
139.799539 35.749768
139.845745 35.797994
139.822836 35.781163
139.628078 35.673607
139.646283 35.585775
139.743865 35.717595
139.751634 35.799341
139.829502 35.683024
局所最適点
139.801297 35.732330
139.643504 35.768147
139.670778 35.673907
139.643671 35.719326
139.610321 35.686637
139.830757 35.691212
139.725223 35.754564
139.759101 35.731424
139.792178 35.661433
139.687395 35.769835
139.590978 35.742493
139.717199 35.569798
139.726500 35.628066
139.891814 35.699554
139.687056 35.721028
139.792056 35.697290
139.868650 35.733541
139.842174 35.768733
139.627781 35.640748
139.680343 35.615541
139.724992 35.700490
139.789354 35.784112
139.867853 35.666229
optimized cost
183342.878828
2024-01-29 05:27:09
26回目，np.seedIndex=25
初期母点
139.713089 35.781697
139.861512 35.709115
139.612718 35.788243
139.676705 35.626475
139.727224 35.697129
139.637317 35.721669
139.849672 35.678080
139.838338 35.706245
139.707603 35.667349
139.631195 35.793277
139.790809 35.574556
139.774833 35.653606
139.656819 35.590233
139.738223 35.567592
139.768923 35.678732
139.638124 35.768790
139.727265 35.689896
139.730668 35.673534
139.751419 35.670685
139.617283 35.754084
139.684855 35.561935
139.722485 35.753611
139.788648 35.664309
局所最適点
139.693534 35.767493
139.855000 35.753893
139.589994 35.746288
139.649425 35.631735
139.692064 35.719721
139.646830 35.699782
139.876801 35.684289
139.795419 35.782230
139.674242 35.677980
139.645466 35.772525
139.727469 35.606179
139.792833 35.669462
139.611988 35.655417
139.722467 35.562378
139.787418 35.727766
139.650291 35.735532
139.734499 35.708844
139.693030 35.632750
139.733525 35.649356
139.608602 35.705510
139.688240 35.588872
139.734970 35.753479
139.827090 35.695421
optimized cost
183653.867150
2024-01-29 05:27:19
27回目，np.seedIndex=26
初期母点
139.661548 35.700189
139.617027 35.744082
139.805018 35.675684
139.790633 35.788433
139.896027 35.652285
139.853243 35.746576
139.638823 35.699364
139.851658 35.789168
139.709284 35.756922
139.609237 35.792127
139.688038 35.685877
139.602307 35.700039
139.768337 35.753986
139.855342 35.655863
139.728419 35.679580
139.763481 35.728523
139.613425 35.651688
139.710990 35.745289
139.763106 35.576046
139.835122 35.785554
139.811943 35.695385
139.671903 35.570434
139.640136 35.789828
局所最適点
139.686750 35.726853
139.639491 35.728545
139.791637 35.669449
139.785403 35.784892
139.893709 35.698610
139.869064 35.729034
139.668608 35.685845
139.859615 35.768301
139.712165 35.763318
139.590746 35.743931
139.678871 35.640494
139.611791 35.688428
139.792217 35.725042
139.867787 35.666464
139.727754 35.626251
139.748410 35.733578
139.627211 35.640761
139.723151 35.698419
139.721898 35.566648
139.824576 35.765618
139.827979 35.693438
139.687435 35.595978
139.658487 35.772441
optimized cost
183142.457299
2024-01-29 05:27:31
28回目，np.seedIndex=27
初期母点
139.794549 35.725342
139.619611 35.756064
139.699920 35.643094
139.872904 35.672792
139.621401 35.779453
139.771900 35.569683
139.851574 35.743704
139.822051 35.714382
139.892329 35.710687
139.675882 35.703111
139.701350 35.712579
139.811274 35.681058
139.629622 35.647985
139.690611 35.737353
139.879368 35.743913
139.759145 35.592546
139.772223 35.653953
139.692375 35.659421
139.708280 35.745359
